HEADLINE,TITLE,DESCRIPTION,IMAGE URL,LINK,FILTERS
satan's butthole,day 1 (mon 3/7/23),"We started in a birch forest and started building right on this sweet river, dark oak forest on the other side, nice spot.
<br><br>Zac found a massive hell hole in the ground, immediately dubbed Satan's Butthole. We gaven't played since the new land generation was added, the caves already look so fun.
<br><br>Preeetty tired, it took a few days to find enough web/wool for beds so we're gonna call it a night.",https://i.imgur.com/Z0SmYFv.jpg,#,homesteading
what are the chances,day 2 (thurs 6/7/23),"
to add:
<br>- creeper exploded and revealed diamonds x6
<br>- travelling merchant turned up and got locked inside the house, got murdered after he got too annoying
<br>- big upgrades to the house
<br>- pumps
<br>- satan's urethra
<br>Pumps grow so slow now wtf
<br>New discoveries: Redstone txrs replaced, Harder to find gravel and flint. Boats no longer need a shovel

<br><br>zac upgraded our house to be a modern tree house
<br><br><img src='https://i.imgur.com/KMpi1P6.jpg'>

<br><br>rail to satan's butthole
<br><br><img src='https://i.imgur.com/30bFTgg.jpg'>

<br><br><div align='center'><img src='assets/imgs/default_icons/diamond_x4.png' class='icon_64px'></div>",https://i.imgur.com/DEsGCFA.jpg,,homesteading adventuring
lol rip,day 3 (fri 7/7/23),"TO ADD: Found village, explored the back-door caves through Satan's and giant stalagtites, saw pillagers from  a distance going through the crop fields but didn't approach, near blown up by creeper, drowned twice, found chickens in savannah next door, Zac made an enchanting table, 

<br><br>fishing at night
<br><br><img src='https://i.imgur.com/TK8e63i.jpg'>

<br><br>enchanting items
<br><br><img src='https://i.imgur.com/6q3Nzh5.jpg'>

",https://i.imgur.com/9h42h4Y.jpg,,adventuring
chimken,i found a chinken,- found jungle!,https://i.imgur.com/vXi5OQ2.png,,chicken
chimken in da boat,in the boat there is a chimken,i imediately smacked the chicken after this screenshot since i clicked the wrong mac screenshot button,https://i.imgur.com/N57xKUL.png,,chicken
Headline,Title,"<br>Finished rail to Satan's, 
<br>fixing the village.",assets/imgs/bookshelves quadral.png,,
on the grind,day 4,"sick today, so",assets/imgs/bookshelves quadral.png,,
Headline,day ? (mon 10/7/23),glow caves stuff!!!,assets/imgs/bookshelves quadral.png,,adventuring
,,,assets/imgs/bookshelves quadral.png,,
,,,assets/imgs/bookshelves quadral.png,,
,,,assets/imgs/bookshelves quadral.png,,
,,,assets/imgs/bookshelves quadral.png,,
,,,assets/imgs/bookshelves quadral.png,,
,,,assets/imgs/bookshelves quadral.png,,
